,Montant ,Bénéficiaires,Nombre d'étudiants
Suisse,167667579,20259,226220
Zurich,14503523,1429,40593
Berne,12735287,1328,27969
Lucerne,6118200,1071,12370
Uri,923000,143,978
Schwyz,2958813,375,3769
Obwald,1408283,154,1035
Nidwald,818187,105,1238
Glaris,937100,91,1017
Zoug,1473500,165,3642
Fribourg,4911726,724,8478
Soleure,5679420,724,7095
Bâle-Ville,5378802,681,5604
Bâle-Campagne,7807698,1005,8208
Schaffhouse,1054125,184,2364
Appenzell Rh.-E.,1131200,181,1660
Appenzell Rh.-I.,568200,76,488
Saint-Gall,3990860,682,14002
Grisons,8838300,1367,5659
Argovie,10882350,1133,16651
Thurgovie,4845034,662,6890
Tessin,15119284,1752,8093
Vaud,26497090,2154,19472
Valais,12177550,2088,8731
Neuchâtel,3630112,605,5678
Genève,9825179,970,12413
Jura,3454756,433,2123
